parameterization,date,smoothed_dpi,smoothed_pai
Uribe-A mode 5,1988.25,0.0897187896084356,1.39550145253416
Uribe-A mode 5,1988.5,0.075554127350676,1.48522024214259
Uribe-A mode 5,1988.75,0.0394088364319216,1.56077436949327
Uribe-A mode 5,1989,0.0768878264869815,1.60018320592519
Uribe-A mode 5,1989.25,0.00634348045275722,1.67707103241217
Uribe-A mode 5,1989.5,-0.0746331142795222,1.68341451286493
Uribe-A mode 5,1989.75,-0.0404343825131098,1.60878139858541
Uribe-A mode 5,1990,0.00642892988092236,1.5683470160723
Uribe-A mode 5,1990.25,0.023064101883908,1.57477594595322
Uribe-A mode 5,1990.5,-0.018403629553904,1.59784004783713
Uribe-A mode 5,1990.75,-0.0729332094483688,1.57943641828322
Uribe-A mode 5,1991,-0.121565901008555,1.50650320883485
Uribe-A mode 5,1991.25,-0.0375178113945868,1.3849373078263
Uribe-A mode 5,1991.5,-0.0328226985375261,1.34741949643171
Uribe-A mode 5,1991.75,-0.102656593683977,1.31459679789419
Uribe-A mode 5,1992,-0.0632375169253034,1.21194020421021
Uribe-A mode 5,1992.25,-9.90998065040424e-05,1.14870268728491
Uribe-A mode 5,1992.5,-0.0293248731967971,1.1486035874784
Uribe-A mode 5,1992.75,0.00655683288803348,1.11927871428161
Uribe-A mode 5,1993,-0.0150042468702347,1.12583554716964
Uribe-A mode 5,1993.25,-0.00903857484956526,1.1108313002994
Uribe-A mode 5,1993.5,-0.0156070490916135,1.10179272544984
Uribe-A mode 5,1993.75,-0.0112989703808142,1.08618567635823
Uribe-A mode 5,1994,-0.00367345184848805,1.07488670597741
Uribe-A mode 5,1994.25,0.0556408311394344,1.07121325412892
Uribe-A mode 5,1994.5,0.0148961545783227,1.12685408526836
Uribe-A mode 5,1994.75,0.0440439957223192,1.14175023984668
Uribe-A mode 5,1995,0.0162995836528602,1.185794235569
Uribe-A mode 5,1995.25,-0.0221836121964649,1.20209381922186
Uribe-A mode 5,1995.5,-0.038050887464361,1.17991020702539
Uribe-A mode 5,1995.75,-0.0298296955166988,1.14185931956103
Uribe-A mode 5,1996,-0.0502117542047027,1.11202962404433
Uribe-A mode 5,1996.25,-0.00380448365498964,1.06181786983963
Uribe-A mode 5,1996.5,-0.0131493421995886,1.05801338618464
Uribe-A mode 5,1996.75,-0.00460960094003823,1.04486404398505
Uribe-A mode 5,1997,-0.0323841386696918,1.04025444304502
Uribe-A mode 5,1997.25,0.0102393003788117,1.00787030437532
Uribe-A mode 5,1997.5,-0.0142840389653554,1.01810960475414
Uribe-A mode 5,1997.75,-0.0305221615263833,1.00382556578878
Uribe-A mode 5,1998,-0.0155876920882742,0.973303404262397
Uribe-A mode 5,1998.25,-0.00291061713633001,0.957715712174123
Uribe-A mode 5,1998.5,0.0253502978859821,0.954805095037793
Uribe-A mode 5,1998.75,-0.0329947710818621,0.980155392923775
Uribe-A mode 5,1999,0.00587248796849172,0.947160621841913
Uribe-A mode 5,1999.25,0.0183070205208316,0.953033109810405
Uribe-A mode 5,1999.5,0.0704486491063438,0.971340130331236
Uribe-A mode 5,1999.75,0.076846287695764,1.04178877943758
Uribe-A mode 5,2000,0.0137919456909428,1.11863506713334
Uribe-A mode 5,2000.25,0.107192111104345,1.13242701282429
Uribe-A mode 5,2000.5,0.00805402681375671,1.23961912392863
Uribe-A mode 5,2000.75,0.0126484507241673,1.24767315074239
Uribe-A mode 5,2001,-0.07719679134081,1.26032160146656
Uribe-A mode 5,2001.25,-0.0815386242404168,1.18312481012575
Uribe-A mode 5,2001.5,-0.0842922452006952,1.10158618588533
Uribe-A mode 5,2001.75,-0.10284943091725,1.01729394068463
Uribe-A mode 5,2002,0.0101747652548562,0.914444509767384
Uribe-A mode 5,2002.25,0.0365011959419883,0.92461927502224
Uribe-A mode 5,2002.5,0.0317207109770661,0.961120470964229
Uribe-A mode 5,2002.75,-0.00687974532863324,0.992841181941295
Uribe-A mode 5,2003,-0.0116186307779148,0.985961436612661
Uribe-A mode 5,2003.25,0.0243186427582344,0.974342805834747
Uribe-A mode 5,2003.5,0.0419939590010905,0.998661448592981
Uribe-A mode 5,2003.75,0.0411081795640838,1.04065540759407
Uribe-A mode 5,2004,0.0339891178723271,1.08176358715816
Uribe-A mode 5,2004.25,0.019667772076127,1.11575270503048
Uribe-A mode 5,2004.5,0.0407388528934216,1.13542047710661
Uribe-A mode 5,2004.75,0.0468290821665468,1.17615933000003
Uribe-A mode 5,2005,0.0430569976469887,1.22298841216658
Uribe-A mode 5,2005.25,0.0115331666618428,1.26604540981357
Uribe-A mode 5,2005.5,0.0332428495839833,1.27757857647541
Uribe-A mode 5,2005.75,0.0090024708815756,1.31082142605939
Uribe-A mode 5,2006,0.026323691057071,1.31982389694097
Uribe-A mode 5,2006.25,-0.00739697004187322,1.34614758799804
Uribe-A mode 5,2006.5,-0.0212587399227035,1.33875061795617
Uribe-A mode 5,2006.75,-0.0239731368315248,1.31749187803346
Uribe-A mode 5,2007,-0.0116852228188791,1.29351874120194
Uribe-A mode 5,2007.25,-0.0234426125767355,1.28183351838306
Uribe-A mode 5,2007.5,-0.0402080329808897,1.25839090580632
Uribe-A mode 5,2007.75,-0.0556011192822848,1.21818287282543
Uribe-A mode 5,2008,-0.116890578940303,1.16258175354315
Uribe-A mode 5,2008.25,-0.043870869597381,1.04569117460285
Uribe-A mode 5,2008.5,-0.00575936866610867,1.00182030500546
Uribe-A mode 5,2008.75,-0.209580150699269,0.996060936339356
Uribe-A mode 5,2009,-0.0647947750212662,0.786480785640087
Uribe-A mode 5,2009.25,-0.010001405788829,0.721686010618821
Uribe-A mode 5,2009.5,0.0275173456517824,0.711684604829992
Uribe-A mode 5,2009.75,0.0562174994378896,0.739201950481774
Uribe-A mode 5,2010,0.0333572634824094,0.795419449919664
Uribe-A mode 5,2010.25,0.0589453951464962,0.828776713402073
Uribe-A mode 5,2010.5,0.0356491257424559,0.887722108548569
Uribe-A mode 5,2010.75,0.0409537657633474,0.923371234291025
Uribe-A mode 5,2011,0.0107139213524254,0.964325000054373
Uribe-A mode 5,2011.25,0.0243444029940074,0.975038921406798
Uribe-A mode 5,2011.5,-0.0191434880179293,0.999383324400806
Uribe-A mode 5,2011.75,0.00252030402036178,0.980239836382876
Uribe-A mode 5,2012,0.00194428792780362,0.982760140403238
Uribe-A mode 5,2012.25,0.00216053952337282,0.984704428331042
Uribe-A mode 5,2012.5,-0.00959358669962078,0.986864967854414
Uribe-A mode 5,2012.75,-0.0127871318239582,0.977271381154794
Uribe-A mode 5,2013,-0.00169620231380316,0.964484249330836
Uribe-A mode 5,2013.25,-0.023986873043885,0.962788047017032
Uribe-A mode 5,2013.5,0.0129341119884677,0.938801173973147
Uribe-A mode 5,2013.75,0.00661219218872746,0.951735285961615
Uribe-A mode 5,2014,-0.04354860684614,0.958347478150342
Uribe-A mode 5,2014.25,0.0126209629369863,0.914798871304202
Uribe-A mode 5,2014.5,-0.0225578309862169,0.927419834241189
Uribe-A mode 5,2014.75,-0.052289081467952,0.904862003254972
Uribe-A mode 5,2015,-0.0244055029625153,0.85257292178702
Uribe-A mode 5,2015.25,0.0238639361167229,0.828167418824505
Uribe-A mode 5,2015.5,-0.0189291265317966,0.852031354941228
Uribe-A mode 5,2015.75,-0.0259020865095927,0.833102228409431
Uribe-A mode 5,2016,0.0254566224063918,0.807200141899838
Uribe-A mode 5,2016.25,0.0553320701219105,0.83265676430623
Uribe-A mode 5,2016.5,0.019406154689037,0.88798883442814
Uribe-A mode 5,2016.75,0.0195630991024625,0.907394989117177
Uribe-A mode 5,2017,0.0375540501124652,0.92695808821964
Uribe-A mode 5,2017.25,0.0262553703023431,0.964512138332105
Uribe-A mode 5,2017.5,0.0407850712368288,0.990767508634448
Uribe-A mode 5,2017.75,0.027780804566199,1.03155257987128
Uribe-A mode 5,2018,0.0292327726173128,1.05933338443748
Uribe-A mode 5,2018.25,0.0594243719651561,1.08856615705479
Uribe-A mode 6,1954.75,0.0267600994852427,1.05560498485882
Uribe-A mode 6,1955,0.104741349376355,1.08236508434406
Uribe-A mode 6,1955.25,0.0554185364409002,1.18710643372041
Uribe-A mode 6,1955.5,0.108090969353523,1.24252497016131
Uribe-A mode 6,1955.75,0.0844803943762916,1.35061593951484
Uribe-A mode 6,1956,0.00605785536543964,1.43509633389113
Uribe-A mode 6,1956.25,0.0306997798148817,1.44115418925657
Uribe-A mode 6,1956.5,0.00270709991611133,1.47185396907145
Uribe-A mode 6,1956.75,0.0171324217605547,1.47456106898756
Uribe-A mode 6,1957,0.00557655089808197,1.49169349074812
Uribe-A mode 6,1957.25,-0.0624354525625712,1.4972700416462
Uribe-A mode 6,1957.5,-0.00723887627836166,1.43483458908363
Uribe-A mode 6,1957.75,-0.0862613061146048,1.42759571280526
Uribe-A mode 6,1958,-0.202493075932237,1.34133440669066
Uribe-A mode 6,1958.25,-0.107197805721377,1.13884133075842
Uribe-A mode 6,1958.5,0.0373983411758526,1.03164352503705
Uribe-A mode 6,1958.75,0.0405150399432605,1.0690418662129
Uribe-A mode 6,1959,-0.0146024437327634,1.10955690615616
Uribe-A mode 6,1959.25,0.0348987788337985,1.0949544624234
Uribe-A mode 6,1959.5,-0.00401309633204423,1.12985324125719
Uribe-A mode 6,1959.75,0.0173542073558061,1.12584014492515
Uribe-A mode 6,1960,0.0229220821236583,1.14319435228096
